,variable,value
131,beta1,-6.123251512373548
132,"c1,1",5.597433525538122
133,"c1,2",2.0371574916807704
134,"c1,3",-11.765051114259494
135,beta1,-6.886111684419388
136,"c1,1",5.50942308816317
137,"c1,2",1.8005466434947468
138,"c1,3",-10.182150600453069
139,beta1,-6.76027013719058
140,"c1,1",6.037330998552371
141,"c1,2",2.762643123398174
142,"c1,3",-12.609902584311653
143,beta1,-7.54776920995978
144,"c1,1",5.118331339388757
145,"c1,2",1.9357703699020354
146,"c1,3",-8.928409401690757
147,beta1,-5.310504194765381
148,"c1,1",4.386344089203797
149,"c1,2",2.0610242818556563
150,"c1,3",-9.945547323181083
151,beta1,-5.7363543882059265
152,"c1,1",5.3314625394357895
153,"c1,2",2.2809385521734944
154,"c1,3",-10.49443172346213
155,beta1,-6.900505791325813
156,"c1,1",5.049637982935555
157,"c1,2",2.164634355864184
158,"c1,3",-11.154501824020244
159,beta1,-6.2171024986595995
160,"c1,1",6.128679867824782
161,"c1,2",2.022034749904649
162,"c1,3",-10.823041559677765
163,beta1,-6.35229508592384
164,"c1,1",4.658110323923229
165,"c1,2",1.9530410960095266
166,"c1,3",-9.672494430685793
167,beta1,-5.859924083525863
168,"c1,1",5.347274908494816
169,"c1,2",1.819421444284269
170,"c1,3",-9.908588350422026
171,beta1,-5.721074899238648
172,"c1,1",4.324962895716574
173,"c1,2",1.9590103550894464
174,"c1,3",-8.932110775525054
175,beta1,-5.332563058826082
176,"c1,1",5.49681773673828
177,"c1,2",2.303721352255823
178,"c1,3",-10.87214683434417
179,beta1,-6.355622262923939
180,"c1,1",4.581082899879844
181,"c1,2",1.9214560513881191
182,"c1,3",-9.280857284581256
183,beta1,-5.777400799855704
184,"c1,1",5.525185220460395
185,"c1,2",2.3206965087742493
186,"c1,3",-11.433451530236182
187,beta1,-6.919748066839026
188,"c1,1",5.227875052483581
189,"c1,2",2.015940789681431
190,"c1,3",-9.929248605946206
191,beta1,-6.29899872809783
192,"c1,1",5.533022746586816
193,"c1,2",2.399736753446856
194,"c1,3",-11.558958269539435
195,beta1,-6.483481229206257
196,"c1,1",5.131751218621698
197,"c1,2",2.1071317124372673
198,"c1,3",-10.343565988313234
199,beta1,-6.121358361802656
200,"c1,1",5.4862921593429235
201,"c1,2",2.217862251646557
202,"c1,3",-10.786225915681072
203,beta1,-6.345306358901713
204,"c1,1",6.188373673347906
205,"c1,2",2.8310187127023188
206,"c1,3",-14.350081373558794
207,beta1,-8.130568096642314
208,"c1,1",5.826917791531968
209,"c1,2",2.518911822626759
210,"c1,3",-11.429990751399739
211,beta1,-6.864317742948456
212,"c1,1",4.373585450284947
213,"c1,2",1.7533779877192377
214,"c1,3",-7.911866932584557
215,beta1,-4.820544259444496
216,"c1,1",5.140292987740865
217,"c1,2",1.671134909289136
218,"c1,3",-8.784281277311521
219,beta1,-5.429247945903439
220,"c1,1",5.348312197145507
221,"c1,2",1.9928554950352635
222,"c1,3",-10.001549004747886
223,beta1,-6.507214438560454
224,"c1,1",5.225598356304085
225,"c1,2",1.6661042712133312
226,"c1,3",-9.82110537504262
227,beta1,-5.574410393652444
228,"c1,1",5.289250595910618
229,"c1,2",2.0645123385251947
230,"c1,3",-11.396428027148506
231,beta1,-6.869282394523999
232,"c1,1",4.345548959823418
233,"c1,2",2.0143237205965967
234,"c1,3",-10.829011118780663
235,beta1,-6.242942866287134
236,"c1,1",6.261787262875163
237,"c1,2",2.2834767292206655
238,"c1,3",-12.575852710965997
239,beta1,-7.271102209332921
240,"c1,1",4.189197891596642
241,"c1,2",2.086509395578931
242,"c1,3",-10.30212589226911
243,beta1,-6.243972700340386
244,"c1,1",4.635740424855033
245,"c1,2",2.1741644739962136
246,"c1,3",-10.015848940609244
247,beta1,-5.893473123675844
248,"c1,1",5.29419306673117
249,"c1,2",2.4026145462488637
250,"c1,3",-10.803013646314977
251,beta1,-6.473259220336715
252,"c1,1",4.442688557923755
253,"c1,2",2.1046203680872844
254,"c1,3",-8.754805525721917
255,beta1,-5.679895805243124
256,"c1,1",5.485244328436818
257,"c1,2",2.2160446951736867
258,"c1,3",-11.16200618224529
259,beta1,-6.231760465083747
260,"c1,1",5.901597458851926
261,"c1,2",2.049594778386443
262,"c1,3",-11.81048832772327
263,beta1,-6.828213480685563
264,"c1,1",5.431545791767696
265,"c1,2",2.50589822896494
266,"c1,3",-11.513445736856898
267,beta1,-7.223402592573198
268,"c1,1",5.359999241120459
269,"c1,2",2.4648957631004795
270,"c1,3",-11.341471574960984
271,beta1,-6.640618752858645
272,"c1,1",5.157003359054428
273,"c1,2",2.837038488749808
274,"c1,3",-11.53836374616639
275,beta1,-7.015680813413453
276,"c1,1",5.4477282357035
277,"c1,2",2.1990325963453614
278,"c1,3",-10.377791362560831
279,beta1,-6.357722512608268
